#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Milk & Honey","Billie Marten",81,10A,56,2025-08-11,03:58,45,"","Writing of Blues and Yellows (Deluxe Version)",2016-09-23,29,68,0,46,0,10,-9,B Minor,4,1GNBUGLY90p5vP6z1eEA7k,GBARL1600322
2,"Still Frames","The Monotrol Kid",130,10B,32,2026-02-03,03:41,27,"","Still Frames",2026-01-29,59,9,0,25,0,20,-13,D Major,4,2KNi8iDl1t7MHLMoiDsAgW,BET772300003
3,"Dark Red","Steve Lacy",172,2B,78,2025-08-10,02:53,86,"","Dark Red",2017-02-20,60,45,0,77,0,10,-4,F#/G♭ Major,4,3EaJDYHA0KnX88JvDhL9oa,GBKPL1778015
4,"Maybe","RICEWINE",92,11B,31,2025-08-11,04:04,41,"bedroom pop","Flood",2017-01-01,66,95,83,49,0,30,-11,A Major,4,7sljA9XJXVCbbXLK5XpDtu,GBSMU3778737
5,"Just Say It","Tom Joyce",110,8B,25,2025-12-16,03:33,14,"","Just Say It",2025-12-12,67,72,0,37,0,10,-9,C Major,4,6pEgvDP065eMvvJ1EmWW3g,QT6F62555862
6,"From the Rain","Free Carmen",81,4B,55,2026-01-13,04:19,23,"","From the Rain",2025-12-19,54,19,0,31,0,10,-7,G#/A♭ Major,4,51qZ0RlNU0HNyJhFIL0QnJ,QMFMG2539248
7,"Lonestar","Outpost Drive",88,7B,23,2025-11-18,04:04,23,"","Lonestar",2025-11-14,43,62,0,14,0,0,-9,F Major,4,61mXTnfIeQQhRZEOwygODT,QZZ8A2561114
8,"Upside Down","54 Ultra",170,4B,62,2025-10-24,03:16,67,"retro soul","Upside Down",2025-04-02,45,48,0,56,0,10,-7,G#/A♭ Major,4,2ykiSY1uHTHCBVpbym4Uff,USA2P2510669
9,"JJ - Give and Take","Mouth Water",142,5A,45,2025-12-16,02:19,16,"","JJ (Give and Take)",2025-12-12,75,32,0,65,0,10,-12,C Minor,4,51TeKocOI4y2Jz715AT09U,DGA072572726
10,"Big Bend (Oh Jai Ma)","Sis and the Lower Wisdom",113,1B,41,2025-12-24,03:25,20,"","Big Bend (Oh Jai Ma)",2025-12-15,40,77,0,49,0,30,-9,B Major,4,6s8d6e5wR4DReZVEuoNvN4,QT3F42565470
11,"White Teeth","Ryan Beatty",168,2B,37,2025-08-11,03:58,49,"","Calico",2023-04-28,27,63,0,37,0,10,-8,F#/G♭ Major,5,3Gqagi4hGvcHyoWznBi4q3,GBAHS2300261
12,"eighteen","Katie Joy",120,8B,46,2026-01-11,04:43,3,"","eighteen",2025-12-18,53,0,1,14,0,10,-10,C Major,3,78kUdtbmH5cbXOfbQdQfhO,QT6F72504772
13,"Lost","Nik Barrell",106,5B,34,2025-12-12,03:28,15,"","Almost Home",2025-11-21,77,81,0,32,0,10,-11,D#/E♭ Major,4,0qYzrtReHBtHudGYZocCR8,USY282583499
14,"Good Ol' Day's","jag robinson",119,7B,41,2026-01-19,02:48,15,"","Good Ol' Day's",2025-12-28,58,31,8,23,0,50,-10,F Major,4,6T3TGpQ7ZlWPodnLC1U3sX,QT6G42599318
15,"Limerence","The Ingrid",158,10B,49,2025-11-24,03:28,18,"","Limerence",2025-11-21,43,68,15,38,0,10,-11,D Major,4,2Boc77BvMeK3Vypj6cBghV,USX9P2556371
16,"Think Of You","Matt Astell",75,10B,58,2026-02-09,03:22,1,"","Think Of You",2026-02-01,53,50,3,50,0,10,-9,D Major,4,5Lq2l7jafOHDcAkSqDuRfc,QZFYX2654991
17,"Vignette","Will Goddard",199,11B,30,2026-02-05,02:24,1,"slowcore","Vignette",2025-12-30,36,80,7,39,0,10,-18,A Major,4,3MVDoFtTsDpHWaJg8p0SuI,QT6HK2554726
18,"Winded","Patrick Keller",82,8B,28,2025-11-11,03:37,2,"","Winded",2025-11-07,35,29,0,45,0,10,-14,C Major,4,6WPrxC0pvea4Aqfxex8bOI,QT6E52560973
19,"Blue Light","Mazzy Star",135,12B,22,2023-07-18,05:10,69,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,46,84,62,18,0,10,-16,E Major,3,3BdHMOIA9B0bN53jbE5nWe,USCA29300471
20,"Grow Up","Lydia the Bard,Ben Tomalin",117,10B,27,2025-11-03,02:47,42,"","The Woods",2025-10-11,58,92,0,29,0,10,-12,D Major,3,6DfLraUJkblwPPnX89ziLd,QZZ8A2536664
21,"ceilings","Lizzy McAlpine",148,11B,32,2024-08-22,03:02,81,"","five seconds flat",2022-04-08,52,47,0,26,0,20,-12,A Major,3,2L9N0zZnd37dwF0clgxMGI,GBKPL2280163
22,"lightning","mehro",150,2A,53,2025-11-10,03:08,31,"","lightning",2020-10-16,60,85,0,32,0,10,-8,D#/E♭ Minor,4,58mYapf9OjU4waibyphRhP,US3DF2093987
23,"Bruise","Lauren Minear",75,12B,50,2025-11-03,03:28,32,"","Boxing Day",2025-10-17,53,55,0,26,0,10,-9,E Major,4,1Nv6Kz8PVftDRVZ6d8hrBc,QZZ3M2500006
24,"Where Silence Feels Safer","Patrick Keller",152,7B,52,2025-11-11,05:27,11,"","Winded",2025-11-07,41,0,0,25,0,10,-12,F Major,4,1fioJlphppkRaQGPOw1AO0,QT6E52560972
25,"whore","mehro",136,9B,27,2025-11-10,02:43,38,"","whore",2022-11-11,77,90,5,37,0,0,-12,G Major,4,5kkSbXjKeAxmDllVqAjDq6,USANG2221999
26,"Mice","Billie Marten",123,7B,20,2025-08-11,04:04,48,"","Feeding Seahorses by Hand",2019-04-26,65,70,0,36,0,0,-13,F Major,3,1wcAKUbAyMRy0uSsFbyiCv,GBARL1801130
27,"perfume","mehro",130,10B,45,2025-11-12,02:33,40,"","perfume",2020-02-21,68,83,0,72,0,10,-7,D Major,4,0t52rXOiyAKx1ZoacxuB4B,USANG2009606
28,"Crocus Man","Sis and the Lower Wisdom",99,9B,48,2025-11-03,03:17,9,"","Crocus Man",2025-10-27,57,47,1,39,0,10,-11,G Major,4,2W8YdtNsTWBpySTgy3dT3U,QT3F22547442
29,"Ribbons","Ryan Beatty",138,5B,25,2025-08-11,03:17,48,"","Calico",2023-04-28,40,93,1,24,0,10,-13,D#/E♭ Major,4,1mn1vm47Qm3h91kgNRmXf0,GBAHS2200926
30,"Way Back When","Lydia the Bard,Ben Tomalin",122,2B,56,2025-11-03,03:08,40,"","The Woods",2025-10-11,53,51,0,21,0,10,-9,F#/G♭ Major,4,2RVaowAxgdhyNbpSTLDskd,QZZ8A2536685
31,"Big Black Car","Gregory Alan Isakov",110,5B,19,2024-08-19,03:37,74,"indie folk, folk, folk pop","This Empty Northern Hemisphere",2009-01-01,60,91,0,47,0,10,-16,D#/E♭ Major,4,3Kj2EWpIBnvETsYq4cq0IH,uscgj0988301
32,"ketamine","mehro",110,7A,74,2025-10-31,02:29,36,"","ketamine",2024-02-02,92,52,2,86,0,20,-5,D Minor,4,7tF1CqPkS8BHIG88WDdpHx,QMANG2248599
33,"De Selby (Part 1)","Hozier",70,1A,17,2025-08-11,03:39,49,"","Unreal Unearth",2023-08-18,37,82,1,15,0,10,-15,G#/A♭ Minor,4,6vRvqf5N1ZfCfG67s7EXH1,IEACJ2300006
34,"The Woods","Lydia the Bard,Ben Tomalin",123,8B,59,2025-10-27,03:24,52,"","The Woods",2025-10-11,38,45,0,28,0,10,-8,C Major,4,3WyjC1aSgY7iBinniUVhnh,QZZ8A2536635
35,"Loosey-Goosey (Alternate Version)","Zoning Out",175,10B,83,2025-11-04,03:01,17,"indie rock","Loosey-Goosey (Alternate Version)",2025-10-30,37,1,70,48,10,10,-8,D Major,4,74JeFe7mnray6tezvmTPdo,USX9P2562579
36,"3 Rounds and a Sound","Blind Pilot",59,3B,29,2025-08-11,04:26,54,"indie folk","3 Rounds and a Sound",2008-07-15,38,84,0,20,0,10,-12,C♯/D♭ Major,4,6AYFKOPbmd12rUP5DalRwB,TCADD1752760
37,"ELEVATING","Jackson Trapp",78,8B,26,2025-10-27,02:40,17,"","ELEVATING",2025-10-24,76,50,85,60,0,0,-4,C Major,4,3zRKG22gG4NzbLzkWrKOWQ,AUGBT2568617
38,"How Come?","LUKE B",50,10A,40,2025-11-20,03:57,3,"","How Come?",2025-11-12,13,0,0,11,0,10,-8,B Minor,4,6gqBHI3bSfNMQd85gjdTt7,QT3FG2554870
39,"hideous","mehro",87,12B,53,2025-11-12,03:15,31,"","hideous",2020-07-10,64,52,1,35,0,10,-8,E Major,4,0Z4fumL9DXniQKPI939GYo,USANG2053470
40,"All I Want","Kodaline",187,8B,41,2023-07-18,05:05,80,"","In A Perfect World (Expanded Edition)",2013-06-17,19,17,15,16,0,0,-10,C Major,3,0NlGoUyOJSuSHmngoibVAs,GBDVX1200008
41,"die for you","Outpost Drive",80,8B,45,2025-10-09,03:21,21,"","die for you",2025-10-01,47,31,0,12,0,10,-9,C Major,4,5P0tF64uo8lApqdnN305p8,QZWV32545616
42,"the same","mehro",144,4A,50,2025-10-31,03:24,56,"","SKY ON FIRE",2021-03-25,58,86,18,31,0,10,-11,F Minor,4,03OjIsSVv8mwp58p3iK87o,USANG2115041
43,"Beige","Yoke Lore",168,6B,68,2025-09-27,03:24,71,"","Goodpain",2017-06-16,43,38,7,22,10,10,-8,A#/B♭ Major,4,7uYQELhe7g6QLIzZDOlhbW,QZ2P21700018
44,"Hold My Heart","Kendal Moody",87,11A,20,2025-09-22,03:46,2,"","Hold My Heart",2025-09-13,28,72,0,15,0,10,-11,F#/G♭ Minor,3,2XKa6qrQtapNe1Jw2jIIv7,QZZ772537488
45,"dopamine","mehro",100,5B,78,2025-10-31,02:38,34,"","dopamine",2023-10-13,66,19,0,69,0,10,-7,D#/E♭ Major,4,2A7fgpVBSDrXKkJxt0MvYv,QM3DF2293917
46,"Astronomy","Conan Gray",145,9A,34,2023-07-18,04:03,73,"","Superache",2022-06-24,47,58,0,15,0,30,-9,E Minor,3,2JN3ugW1cEahbYw0I5mw5U,USUM72106337
47,"All Too Well (Taylor's Version)","Taylor Swift",186,8B,53,2025-08-11,05:29,73,"","Red (Taylor's Version)",2021-11-12,44,2,0,13,0,20,-8,C Major,4,3nsfB1vus2qaloUdcBZvDu,USUG12103665
48,"we fell in love in october","girl in red",130,9B,37,2025-08-11,03:04,2,"bedroom pop","we fell in love in october / forget her",2018-11-21,57,11,18,24,0,10,-13,G Major,4,1BYZxKSf0aTxp8ZFoeyM3d,GBKPL1828677
49,"Loudoun Hill","Colin Hunter",92,3B,30,2025-09-15,03:30,9,"jazz fusion","The King Of The Rats",2021-00-00,50,82,0,27,0,10,-12,C♯/D♭ Major,4,1c6EwrleREQjLOHpQw0V0s,GBMJG2526176
50,"End of Beginning","Djo",160,10B,45,2025-08-13,02:39,98,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
