#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"always, i'll care","Jeremy Zucker",105,2B,22,2021-02-07,02:26,64,"","love is not dying",2020-04-17,73,90,0,68,0,10,-13,F#/G♭ Major,4,0rbKrBvZUYY9GN9l057BuY,USUM72001551
2,"ILYSB","LANY",100,7B,62,2021-02-07,03:31,74,"","LANY",2017-06-30,64,47,0,39,0,30,-7,F Major,4,2btKtacOXuMtC9WjcNRvAA,TCABY1418887
3,"right here","keshi",160,7B,50,2021-02-07,03:15,60,"","bandaids",2020-03-24,60,8,0,32,0,10,-9,F Major,4,2Q3QRjA8MjzqpFaIkFludb,USUM71918711
4,"end","Jeremy Zucker",81,8B,36,2021-02-07,03:49,43,"","idle",2017-10-27,41,54,0,27,20,10,-10,C Major,4,3XaZ4zJnU3SbYFj6PhI8Y7,USUM71710355
5,"13","LANY",134,1A,54,2021-02-07,03:54,76,"","LANY",2017-06-30,78,69,0,70,0,0,-8,G#/A♭ Minor,4,0WOvSEVpUGkNufX0w0M06F,GBUM71700717
6,"less of you","keshi",170,9B,68,2021-02-07,03:26,64,"","bandaids",2020-03-24,56,54,0,57,0,10,-6,G Major,4,3IqcBL5yjJK3ri0TGaL3MC,USUM72003471
7,"hell or flying","Jeremy Zucker",140,8B,13,2021-02-07,04:01,39,"","love is not dying",2020-04-17,55,93,0,30,0,0,-17,C Major,4,5kHvUNjWJR6DtSVaaYlJ2Z,USUM72003324
8,"Breathe","Lauv",137,12B,39,2021-02-07,03:57,0,"","I met you when I was 18. (the playlist)",2018-05-31,32,73,0,19,0,30,-8,E Major,4,373q2bp4ZvyJ9kFZcpJSMs,TCACS1607973
9,"if we never met","John K",108,4B,38,2021-02-07,02:24,53,"","if we never met",2019-04-26,96,17,0,33,0,10,-7,G#/A♭ Major,4,5HBDBBr5OV90lubqW8ctJF,USSM11902691
10,"Mystery of Love","Sufjan Stevens",132,9A,27,2021-02-07,04:08,81,"baroque pop","Mystery of Love",2017-12-01,37,94,43,24,0,10,-17,E Minor,5,5GbVzc6Ex5LYlLJqzRQhuy,US64G1737302
11,"hey girl","boy pablo",100,2B,44,2021-02-07,03:07,41,"bedroom pop","hey girl",2020-05-28,59,1,7,90,0,10,-12,F#/G♭ Major,4,2rVAtdA3LWr18RAVGXZNkw,NO8WZ2002010
12,"These Days","Wallows",93,8B,67,2021-02-07,03:22,64,"indie","Spring EP",2018-04-06,66,4,3,87,0,0,-7,C Major,4,4gZDCOFuLCxCRWNhSEcOtJ,USAT21800737
13,"Someone New","Hozier",184,9B,54,2021-02-07,03:42,74,"","Hozier",2014-09-19,44,41,0,59,0,20,-6,G Major,4,22sS7JkzeVeq4vOPCB6Fbj,IEACJ1400143
14,"illicit affairs","Taylor Swift",120,6B,31,2021-02-07,03:10,37,"","folklore",2020-07-24,56,88,0,46,0,10,-10,A#/B♭ Major,4,7pv3FIt9AxFME58yM1ROwZ,USUG12002844
15,"the last great american dynasty","Taylor Swift",148,9B,66,2021-02-07,03:50,40,"","folklore",2020-07-24,68,47,0,71,0,10,-9,G Major,4,2MnzNhe3pPExotEbZpeXnh,USUG12002854
16,"Wait a Minute!","WILLOW",101,2A,71,2021-02-07,03:16,66,"","ARDIPITHECUS",2015-12-18,76,4,0,67,0,0,-5,D#/E♭ Minor,4,5e08a8D8T3z4LDXbUIjxKQ,QMJMT1500801
17,"Past Life (with Selena Gomez)","Trevor Daniel,Selena Gomez",80,5B,54,2021-02-07,03:06,0,"","Past Life (with Selena Gomez)",2020-06-26,61,10,0,29,0,10,-5,D#/E♭ Major,4,4P6IttK2PRBjyr3fm0pP7t,USUM72010569
18,"Generation Why","Conan Gray",82,11B,68,2021-02-07,03:39,60,"","Sunset Season",2018-11-16,56,35,0,53,0,10,-8,A Major,4,79e2GU4RLPjAqnijfvsXYr,USUM71815015
19,"i hate u, i love u (feat. olivia o'brien)","gnash,Olivia O'Brien",92,11A,28,2021-02-07,03:46,32,"","i hate u, i love u (feat. olivia o'brien)",2016-02-17,68,75,0,16,20,10,-13,F#/G♭ Minor,4,0qm1LWHSmKvdOPzBvhB29w,USAT21600126
20,"All I Want","Kodaline",187,8B,43,2021-02-07,05:06,0,"","The Kodaline EP",2012-09-07,19,11,9,16,0,0,-9,C Major,3,1XczdQt6RKNkEQfPqUsi3q,GBDVX1200008
21,"magnolia","keshi",140,11B,50,2021-02-07,02:19,56,"","magnolia",2017-11-07,62,94,90,50,0,10,-12,A Major,4,6PAvEeeSw7zuaQTUnoZPlg,SEYOK1775385
22,"comethru","Jeremy Zucker",94,8B,18,2021-02-07,03:01,73,"","summer,",2018-09-28,80,61,0,61,0,60,-12,C Major,4,18uwL0vNUanqZH0ro2QcOP,USUM71813455
23,"Paris in the Rain","Lauv",76,5B,41,2021-02-07,03:24,1,"","I met you when I was 18. (the playlist)",2018-05-31,43,77,0,53,0,30,-9,D#/E♭ Major,4,41CgzGD7xlgnJe14R4cqkL,GBWWP1703276
24,"you were good to me","Jeremy Zucker,Chelsea Cutler",102,10B,8,2021-02-07,03:39,69,"","brent",2019-05-03,56,91,0,21,0,10,-15,D Major,4,4CxFN5zON70B3VOPBYbd6P,USUM71906797
25,"Modern Loneliness","Lauv",82,4B,51,2021-02-07,04:12,0,"","~how i'm feeling~",2020-03-06,70,14,0,14,0,10,-7,G#/A♭ Major,4,1eyek0KJEh2v5HQ9uQSybb,GBKPL1969297
